title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
The Godfather,8.707,18677,1972-03-14,245066411,175,6000000,158.448,"['Drama', 'Crime']",6,210.0,1.0,0.4,1.0,1.0
The Martian,7.678,18525,2015-09-30,630600000,141,108000000,76.0,"['Drama', 'Adventure', 'Science Fiction']",5,180.0,0.9438372418683834,0.5663023,0.9438372,0.5663023
Back to the Future,8.314,18442,1985-07-03,381109762,116,19000000,62.543,"['Adventure', 'Comedy', 'Science Fiction']",4,150.0,0.8868994915057036,0.7095196,0.8868995,0.5321397
Star Wars: The Force Awakens,7.293,18352,2015-12-15,2068223624,136,245000000,66.772,"['Adventure', 'Action', 'Science Fiction']",5,150.0,0.9062790461419177,0.7250232,0.906279,0.3625116
Spider-Man: No Way Home,7.99,18299,2021-12-15,1921847111,148,200000000,186.065,"['Action', 'Adventure', 'Science Fiction']",5,180.0,1.0,0.8,1.0,0.4
Harry Potter and the Order of the Phoenix,7.686,18177,2007-07-08,938212738,138,150000000,117.168,"['Adventure', 'Fantasy']",5,150.0,1.0,1.0,1.0,0.4
Harry Potter and the Half-Blood Prince,7.697,18127,2009-07-15,933959197,153,250000000,121.735,"['Adventure', 'Fantasy']",6,180.0,1.0,1.0,1.0,0.4
Logan,7.8,18116,2017-02-28,619021436,137,97000000,54.194,"['Action', 'Drama', 'Science Fiction']",5,150.0,0.8434908357292158,0.5060945,0.8434908,0.5060945
Finding Nemo,7.824,18061,2003-05-30,940335536,100,94000000,55.456,"['Animation', 'Family']",4,120.0,0.8505566545734426,0.8505567,0.3402227,0.3402227
It,7.242,18018,2017-09-06,701800000,135,40000000,74.73,"['Horror', 'Fantasy']",5,150.0,0.939005538740771,0.7512044,0.9390055,0.3756022
John Wick,7.421,17923,2014-10-22,88761661,101,20000000,55.739,"['Action', 'Thriller']",4,120.0,0.852114244742117,0.6816914,0.8521142,0.3408457
Fantastic Beasts and Where to Find Them,7.334,17892,2016-11-16,809342332,132,180000000,46.103,"['Fantasy', 'Adventure', 'Family']",5,150.0,0.7928291844618592,0.7928292,0.6342633,0.3171317
Harry Potter and the Deathly Hallows: Part 1,7.763,17782,2010-11-17,954305868,146,250000000,111.984,"['Adventure', 'Fantasy']",5,180.0,1.0,1.0,1.0,0.4
Coco,8.222,17742,2017-10-27,800526015,105,175000000,166.578,"['Family', 'Animation', 'Fantasy', 'Music', 'Comedy', 'Adventure']",4,120.0,1.0,1.0,0.6,0.6
Captain America: The Winter Soldier,7.671,17692,2014-03-20,714766572,136,170000000,31.482,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.6656061911681646,0.532485,0.6656062,0.2662425
Spider-Man,7.279,17653,2002-05-01,821708551,121,139000000,63.478,"['Fantasy', 'Action']",5,150.0,0.891318519467599,0.8913185,0.8913185,0.3565274
WALL·E,8.078,17446,2008-06-22,521311860,98,180000000,58.517,"['Animation', 'Family', 'Science Fiction']",4,120.0,0.866910079200709,0.6935281,0.520146,0.346764
Gone Girl,7.892,17381,2014-10-01,369330363,149,61000000,46.611,"['Mystery', 'Thriller', 'Drama']",5,180.0,0.7963210333256585,0.3185284,0.796321,0.6370568
The Hobbit: An Unexpected Journey,7.339,17356,2012-12-12,1021103568,169,250000000,83.524,"['Adventure', 'Fantasy', 'Action']",6,210.0,0.9705935642364267,0.9705936,0.9705936,0.3882374
"Monsters, Inc.",7.835,17189,2001-11-01,579707738,92,115000000,86.936,"['Animation', 'Comedy', 'Family']",4,120.0,0.9817857511698269,0.9817858,0.5890715,0.7854286
Toy Story,7.971,17152,1995-10-30,394400000,81,30000000,78.404,"['Animation', 'Adventure', 'Family', 'Comedy']",3,90.0,0.9527216416186928,0.9527216,0.571633,0.571633
